tree_order,Zizen's new cluster_ids,cluster_id,cluster_label,cluster_color,cluster_size,class,class_color,subclass,subclass_color,level2,level2_color,level3,level3_color,integrated,integrated_color,integrated_FINAL,integrated_FINAL_color,integrated_alias,DNAm_cluster_id,DNAm_cluster_name,old_DNAm_cluster_id,old_remap?,old_new cluster?,DNAm_cluster_label,DNAm_cluster_color,ATAC_cluster_id,ATAC_cluster_label,ATAC_cluster_color,VISp_ALM_best_match,Notes
58,58,58,L2/3 IT_1,#00FF34,1410,Glutamatergic,#3EA185,L2/3 IT,#C4EC04,IT projecting,#3ECB88,IT projecting,#3ECB88,E_12,#00FF34,L2/3 IT,#C4EC04,,18,L23-IT-Cux2,L23-IT-Cux2,,,L2/3 IT Greb1l,#00FF34,L23.a,L2/3_1,#00FF34,L2/3 IT VISp Adamts2,
59,59,59,L2/3 IT_2,#07D945,2004,Glutamatergic,#3EA185,L2/3 IT,#C4EC04,IT projecting,#3ECB88,IT projecting,#3ECB88,E_3,#07D945,L2/3 IT,#C4EC04,,18,L23-IT-Cux2,L23-IT-Cux2,,,L2/3 IT Greb1l,#00FF34,L23.a,L2/3_1,#00FF34,L2/3 IT ALM Sla,
60,60,60,L2/3 IT_3,#2EB934,18685,Glutamatergic,#3EA185,L2/3 IT,#C4EC04,IT projecting,#3ECB88,IT projecting,#3ECB88,E_3,#07D945,L2/3 IT,#C4EC04,,18,L23-IT-Cux2,L23-IT-Cux2,,,L2/3 IT Greb1l,#00FF34,L23.b,L2/3_2,#2EB934,L2/3 IT ALM Macc1 Lrg1,
61,61,61,L4/5 IT_1,#09CCC6,11871,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_5,#09CCC6,L5 IT_1,#75C2BE,,19,L4-IT-Rorb_Rorb-Tenm2,L4-IT-Rorb_Rorb-Tenm2,,,L5 IT Rspo1_1,#09CCC6,L4,L4,#09CCC6,L5 IT ALM Pld5,
62,62,62,L4/5 IT_2,#52B8AA,8232,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_10,#52B8AA,L5 IT_1,#75C2BE,,20,L4-IT-Rorb_Rorb-Tenm2-Ryr3,L4-IT-Rorb,,,L5 IT Rspo1_2,#52B8AA,L5.IT.a,L5 IT_1,#52B8AA,L5 IT ALM Lypd1 Gpr88,
63,63,63,L5 IT_1,#58D2C1,7421,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_14,#58D2C1,L5 IT_2,#51B2AD,,21,L5-IT-Deptor,L5-IT-Deptor,,,L5 IT S100b,#58D2C1,L5.IT.b,L5 IT_2,#58D2C1,L5 IT ALM Cpa6 Gpr88,
64,64,64,L5 IT_2,#4A9F93,282,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_8,#4A9F93,L5 IT_3,#408F8B,,21,L5-IT-Deptor,L5-IT-Deptor,,,L5 IT S100b,#58D2C1,L5.IT.b,L5 IT_2,#58D2C1,L5 IT ALM Gkn1 Pcdh19,
66,65,66,L5 IT_3,#4EAC9C,1394,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_8,#4A9F93,L5 IT_1,#75C2BE,,22,L6-IT-Sulf1_Cables1,L6-IT-Sulf1_Cables1,,,L5/6 IT Arhgap15,#4EAC9C,L5.IT.b,L5 IT_2,#58D2C1,L5 IT VISp Col27a1,
67,66,67,L5 IT_4,#52B4B8,4040,Glutamatergic,#3EA185,L5 IT,#50B2AD,IT projecting,#3ECB88,IT projecting,#3ECB88,E_17,#52B4B8,L6 IT_2,#A19A24,,23,L6-IT-Sulf1_Meis2,L6-IT-Sulf1,,,L5 IT Pld5_2,#52B4B8,L6.IT,L6 IT,#52B4B8,L6 IT ALM Oprk1,
68,67,68,L6 IT_1,#B2AD23,1408,Glutamatergic,#3EA185,L6 IT,#A19922,IT projecting,#3ECB88,IT projecting,#3ECB88,E_6,#B2AD23,L6 IT_1,#B4AE50,,22,L6-IT-Sulf1_Cables1,L6-IT-Sulf1,,,L5/6 IT Arhgap15,#4EAC9C,L6.IT,L6 IT,#52B4B8,L6 IT VISp Penk Fst,
69,68,69,L6 IT_2,#81791F,2896,Glutamatergic,#3EA185,L6 IT,#A19922,IT projecting,#3ECB88,IT projecting,#3ECB88,E_6,#B2AD23,L6 IT_2,#A19A24,,24,L6-IT-Sulf1_Sulf1,L6-IT-Sulf1,,,L6 IT_2,#81791F,L6.IT,L6 IT,#52B4B8,L6 IT VISp Penk Col27a1,
70,69,70,L6 IT Car3,#5100FF,13,Glutamatergic,#3EA185,L6 IT Car3,#5100FF,IT projecting,#3ECB88,IT projecting,#3ECB88,E_21,#5100FF,L6 IT_3,#827B1B,,25,L6-IT-Sulf1_Pcdh15,L6-IT-Sulf1_Pcdh15,,,L6 IT Car3,#5100FF,NA,NA,#5100FF,L6 IT VISp Car3,
71,70,71,L5 PT_1,#0D5D7E,2943,Glutamatergic,#3EA185,L5 ET,#0D5B78,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_22,#0D5D7E,L5 ET_1,#407D94,L5 ET (Betz),26,L5-PT-Bcl6,L5-PT-Bcl6,,,L5 ET,#0D5D7E,L5.PT,L5 ET,#0D5D7E,L5 PT ALM Slco2a1,
72,71,72,L5 PT_2,#0B77A5,414,Glutamatergic,#3EA185,L5 ET,#0D5B78,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_4,#0B77A5,L5 ET_2,#0F5C79,L5 ET (Betz),26,L5-PT-Bcl6,L5-PT-Bcl6,,,L5 ET,#0D5D7E,L5.PT,L5 ET,#0D5D7E,L5 PT ALM Hpgd,
73,72,73,L5 PT_3,#0B8AA5,343,Glutamatergic,#3EA185,L5 ET,#0D5B78,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_4,#0B77A5,L5 ET_1,#407D94,L5 ET (Betz),26,L5-PT-Bcl6,L5-PT-Bcl6,,,L5 ET,#0D5D7E,L5.PT,L5 ET,#0D5D7E,L5 PT ALM Hpgd,
74,73,74,L5 PT_4,#0A75B1,820,Glutamatergic,#3EA185,L5 ET,#0D5B78,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_4,#0B77A5,L5 ET_1,#407D94,L5 ET (Betz),26,L5-PT-Bcl6,L5-PT-Bcl6,,,L5 ET,#0D5D7E,L5.PT,L5 ET,#0D5D7E,L5 PT ALM Npsr1,
87,74,87,L5/6 NP_1,#48CB80,553,Glutamatergic,#3EA185,L5/6 NP,#3E9E64,Non-IT projecting,#3ECB88,Non-IT projecting,#3ECB88,E_2,#48CB80,L5/6 NP,#3E9E64,,28,L6-NP-Tshz2,L6-NP-Tshz2,,,L5/6 NP Lypd1,#48CB80,NP,L5/6 NP,#1AAB99,L6b VISp Mup5,
88,75,88,L5/6 NP_2,#3C78BC,674,Glutamatergic,#3EA185,L5/6 NP,#3E9E64,Non-IT projecting,#3ECB88,Non-IT projecting,#3ECB88,E_2,#48CB80,L5/6 NP,#3E9E64,,28,L6-NP-Tshz2,L6-NP-Tshz2,,,L5/6 NP Lypd1,#48CB80,NP,L5/6 NP,#1AAB99,L6b ALM Olfr111 Nxph1; L6b P2ry12; L6b VISp Crh,
89,76,89,L5/6 NP_3,#47867A,1940,Glutamatergic,#3EA185,L5/6 NP,#3E9E64,Non-IT projecting,#3ECB88,Non-IT projecting,#3ECB88,E_2,#48CB80,L5/6 NP,#3E9E64,,28,L6-NP-Tshz2,L6-NP-Tshz2,,,L5/6 NP Lypd1,#48CB80,NP,L5/6 NP,#1AAB99,L6b Hsd17b2,
75,77,75,L5/6 NP CT,#1AAB99,233,Glutamatergic,#3EA185,L5/6 NP,#3E9E64,Non-IT projecting,#3ECB88,Non-IT projecting,#3ECB88,E_19,#1AAB99,L5 IT_3,#408F8B,,27,L6-CT-Foxp2_Spon1,L6-CT-Foxp2,,,L5/6 NP CT Cdh18,#1AAB99,NP,L5/6 NP,#1AAB99,L5 NP ALM Trhr Nefl,
76,78,76,L6 CT Gpr139,#168577,108,Glutamatergic,#3EA185,L6 CT,#2D8CB8,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_7,#168577,L6 CT_1,#59A4C7,,30,L6-CT-Foxp2_Foxp2-Wscd1,L6-CT-Foxp2_Foxp2-Wscd1,,,L6 CT Gpr139,#168577,L6.CT,L6 CT,#168577,L5 NP ALM Trhr Nefl,
77,79,77,L6 CT Cpa6,#338C5E,13388,Glutamatergic,#3EA185,L6 CT,#2D8CB8,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_1,#338C5E,L6 CT_2,#2F8DB8,,31,L6-CT-Foxp2_Foxp2-Kcnh5,L6-CT-Foxp2,,,L6 CT Cpa6,#338C5E,L6.CT,L6 CT,#168577,L6 NP ALM Trh,
78,80,78,L6 CT Grp,#2FBCE5,595,Glutamatergic,#3EA185,L6 CT,#2D8CB8,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_1,#338C5E,L6 CT_1,#59A4C7,,29,L6-CT-Foxp2_Foxp2-Glra2,L6-CT-Foxp2,,,L6 CT Grp,#2FBCE5,L6.CT,L6 CT,#168577,NA,
79,81,79,L6 CT Pou3f2,#3E766C,1966,Glutamatergic,#3EA185,L6 CT,#2D8CB8,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_1,#338C5E,L6 CT_1,#59A4C7,,32,L6-CT-Foxp2_Hcrtr2,L6-CT-Foxp2_Spon1,,,L6 CT Pou3f2,#3E766C,L6.CT,L6 CT,#168577,L6 CT VISp Gpr139,
80,82,80,L6 CT Kit_1,#516B78,175,Glutamatergic,#3EA185,L6 CT,#2D8CB8,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_1,#338C5E,L6 CT_1,#59A4C7,,27,L6-CT-Foxp2_Spon1,L6-CT-Foxp2_Spon1,,,L5/6 NP CT Cdh18,#516B78,L6.CT,L6 CT,#168577,L6 CT ALM Cpa6,
81,83,81,L6 CT Kit_2,#557361,29,Glutamatergic,#3EA185,L6 CT,#2D8CB8,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_19,#1AAB99,L6 CT_1,#59A4C7,,27,L6-CT-Foxp2_Spon1,L6-CT-Foxp2_Spon1,,,L5/6 NP CT Cdh18,#516B78,L6.CT,L6 CT,#168577,L6 CT VISp Nxph2 Wls,
82,84,82,L6b Col6a1,#69419D,449,Glutamatergic,#3EA185,L6b,#53377D,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_7,#168577,L6 CT_1,#59A4C7,,33,L6b-Galnt10,L6-CT-Foxp2,L6b-Galnt10,,L6b Ctgf,#69419D,L6.CT,L6 CT,#168577,L6 CT Nxph2 Sla,
83,85,83,L6b Shisa6_1,#46306A,256,Glutamatergic,#3EA185,L6b,#53377D,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_9,#46306A,L6b,#53377D,,33,L6b-Galnt10,L6b-Galnt10,,,L6b Ctgf,#69419D,NA,NA,#5100FF,NA,
84,86,84,L6b Shisa6_2,#464576,502,Glutamatergic,#3EA185,L6b,#53377D,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_11,#464576,L6b,#53377D,,33,L6b-Galnt10,L6b-Galnt10,,,L6b Ctgf,#69419D,NA,NA,#5100FF,NA,
85,87,85,L6b Ror1,#7044AA,596,Glutamatergic,#3EA185,L6b,#53377D,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_9,#46306A,L6b,#53377D,,33,L6b-Galnt10,L6b-Galnt10,,,L6b Ctgf,#69419D,NA,NA,#5100FF,L6b Col8a1 Rprm,
86,88,86,L6b Kcnip1,#573D90,93,Glutamatergic,#3EA185,L6b,#53377D,Non-IT projecting,#3E7782,Non-IT projecting,#3E7782,E_9,#46306A,L5/6 NP,#3E9E64,,33,L6b-Galnt10,L6b-Galnt10,,,L6b Ctgf,#69419D,NA,NA,#5100FF,L6b ALM Olfr111 Spon1; L6b VISp Col8a1 Rxfp1,
90,89,90,Meis2,#C60C0F,49,GABAergic,#C95170,Meis2,#FF0000,CGE/PoA,#C456AA,Lamp5/Other,#E37B97,I_28,#C60C0F,NA,NA,,NA,NA,MGE-Sst_Srrm4,,Meis2,NA,NA,NA,NA,#5100FF,Meis2 Adamts19,
91,90,91,Meis2_Top2a,#931010,47,GABAergic,#C95170,Meis2,#FF0000,CGE/PoA,#C456AA,Lamp5/Other,#E37B97,I_28,#C60C0F,NA,NA,,NA,NA,MGE-Sst_Srrm4,,Meis2,NA,NA,NA,NA,#5100FF,NA,Mitotic Meis2
93,91,93,Astro_Top2a,#332F26,81,Non-neuronal,#6D7A67,Astro,#665C47,Astrocyte,#696E50,Astrocyte,#696E50,N_11,#332F26,NA,NA,Peri-neuronal oligo?,36,NonN_Astro-Slc1a2,NonN_OPC-Pdgfra,,,Astro Rorb Prex2,#332F26,ASC,Astro,#332F26,Astro Aqp4,Mitotic astro
94,92,94,Astro Aqp4_Gfap,#5A503F,1700,Non-neuronal,#6D7A67,Astro,#665C47,Astrocyte,#696E50,Astrocyte,#696E50,N_7,#5A503F,Astro_1,#867E6E,ILA or fibrous astro,36,NonN_Astro-Slc1a2,NonN_VLMC-Slc6a13,,,Astro Rorb Prex2,#332F26,ASC,Astro,#332F26,Astro Aqp4,
95,93,95,Astro Aqp4_Slc7a10,#8D7C5D,16131,Non-neuronal,#6D7A67,Astro,#665C47,Astrocyte,#696E50,Astrocyte,#696E50,N_2,#8D7C5D,Astro_2,#675D48,Protoplasmic astro,36,NonN_Astro-Slc1a2,NonN_OPC-Pdgfra,,,Astro Rorb Prex2,#332F26,ASC,Astro,#332F26,OPC Pdgfra Grm5; OPC Pdgfra Ccnb1,
92,94,92,OPC Pdgfra,#2E3E39,4846,Non-neuronal,#6D7A67,OPC,#486159,Oligo-OPC,#598077,Oligo-OPC,#598077,N_5,#2E3E39,OPC,#486159,,38,NonN_OPC-Pdgfra,MGE-Sst_Srrm4,,Meis2,OPC Pdgfra,#2E3E39,OPC,OPC,#2E3E39,NA,
96,95,96,Oligo Enpp6_1,#374A45,117,Non-neuronal,#6D7A67,Oligo,#2E3E39,Oligo-OPC,#598077,Oligo-OPC,#598077,N_10,#374A45,NA,NA,,37,NonN_ODC-Mog,NonN_ODC-Mog,,,Oligo Plp1,#374A45,OGC,Oligo,#374A45,Oligo Rassf10,
97,96,97,Oligo Enpp6_2,#5E8A79,299,Non-neuronal,#6D7A67,Oligo,#2E3E39,Oligo-OPC,#598077,Oligo-OPC,#598077,N_5,#2E3E39,NA,NA,,NA,NA,NonN_ODC-Mog,,,NA,NA,OGC,Oligo,#374A45,Oligo Rassf10,
98,97,98,Oligo Enpp6_3,#3F574E,68,Non-neuronal,#6D7A67,Oligo,#2E3E39,Oligo-OPC,#598077,Oligo-OPC,#598077,N_10,#374A45,NA,NA,,37,NonN_ODC-Mog,NonN_ODC-Mog,,,Oligo Plp1,#374A45,OGC,Oligo,#374A45,Oligo Rassf10,
99,98,99,Oligo Enpp6_4,#65978A,131,Non-neuronal,#6D7A67,Oligo,#2E3E39,Oligo-OPC,#598077,Oligo-OPC,#598077,N_10,#374A45,Oligo_2,#303F3A,,37,NonN_ODC-Mog,,NonN_ODC-Mog,,Oligo Plp1,#374A45,OGC,Oligo,#374A45,Oligo Rassf10,
100,99,100,Oligo Opalin_1,#474662,3949,Non-neuronal,#6D7A67,Oligo,#2E3E39,Oligo-OPC,#598077,Oligo-OPC,#598077,N_1,#474662,Oligo_1,#5A6662,,37,NonN_ODC-Mog,NonN_Micro-Csf1r,NonN_ODC-Mog,,Oligo Plp1,#374A45,OGC,Oligo,#374A45,Oligo Serpinb1a,
101,100,101,Oligo Opalin_2,#6CA491,14454,Non-neuronal,#6D7A67,Oligo,#2E3E39,Oligo-OPC,#598077,Oligo-OPC,#598077,N_1,#474662,Oligo_2,#303F3A,,37,NonN_ODC-Mog,,NonN_ODC-Mog,,Oligo Plp1,#374A45,OGC,Oligo,#374A45,Oligo Serpinb1a,
102,101,102,Oligo Opalin_3,#4F7165,779,Non-neuronal,#6D7A67,Oligo,#2E3E39,Oligo-OPC,#598077,Oligo-OPC,#598077,N_1,#474662,Oligo_2,#303F3A,,37,NonN_ODC-Mog,,NonN_ODC-Mog,,Oligo Plp1,#374A45,OGC,Oligo,#374A45,Oligo Synpr,
103,102,103,Oligo Opalin_4,#72B09C,486,Non-neuronal,#6D7A67,Oligo,#2E3E39,Oligo-OPC,#598077,Oligo-OPC,#598077,N_1,#474662,Oligo_2,#303F3A,,37,NonN_ODC-Mog,,NonN_ODC-Mog,,Oligo Plp1,#374A45,OGC,Oligo,#374A45,Oligo Synpr,
104,103,104,Endo,#8D6A62,3134,Non-neuronal,#6D7A67,Endo,#8D6C62,Other NN,#99796B,Other NN,#99796B,N_6,#8D6A62,Endo,#8D6C62,,NA,NA,NonN_Astro-Slc1a2,,Endo,NA,NA,Endo,Endo,#8D6A62,Endo Ctla2a; Endo Cytl1,
105,104,105,VLMC_1,#3B3F32,156,Non-neuronal,#6D7A67,VLMC,#697255,Other NN,#99796B,Other NN,#99796B,N_3,#3B3F32,VLMC,#697255,,39,NonN_VLMC-Slc6a13,NonN_SMC-Myo1b,,,VLMC Lama1,#3B3F32,Other,VLMC,#3B3F32,VLMC Spp1 Col15a1,
106,105,106,VLMC_2,#697255,968,Non-neuronal,#6D7A67,VLMC,#697255,Other NN,#99796B,Other NN,#99796B,N_3,#3B3F32,VLMC,#697255,,39,NonN_VLMC-Slc6a13,NonN_SMC-Myo1b,,,VLMC Lama1,#3B3F32,Other,VLMC,#3B3F32,VLMC Osr1 Mc5r,
107,106,107,VLMC_3,#535944,226,Non-neuronal,#6D7A67,VLMC,#697255,Other NN,#99796B,Other NN,#99796B,N_3,#3B3F32,VLMC,#697255,,40,NonN_Endo-Nxn,NonN_SMC-Myo1b,,,VLMC Bnc2,#535944,Other,VLMC,#3B3F32,VLMC Spp1 Hs3st6,
108,107,108,VLMC_4,#535945,152,Non-neuronal,#6D7A67,VLMC,#697255,Other NN,#99796B,Other NN,#99796B,N_3,#3B3F32,VLMC,#697255,,39,NonN_VLMC-Slc6a13,NonN_SMC-Myo1b,,,VLMC Lama1,#3B3F32,Other,VLMC,#3B3F32,VLMC Spp1 Hs3st6,
109,108,109,VLMC_5,#535946,587,Non-neuronal,#6D7A67,VLMC,#697255,Other NN,#99796B,Other NN,#99796B,N_8,#535946,NA,NA,,40,NonN_Endo-Nxn,NonN_OPC-Pdgfra,,VLMC,VLMC Bnc2,#535944,Other,VLMC,#3B3F32,VLMC Osr1 Cd74,
110,109,110,VLMC_6,#535947,161,Non-neuronal,#6D7A67,VLMC,#697255,Other NN,#99796B,Other NN,#99796B,N_8,#535946,NA,NA,,40,NonN_Endo-Nxn,NonN_OPC-Pdgfra,,VLMC,VLMC Bnc2,#535944,Other,VLMC,#3B3F32,VLMC Osr1 Cd74,
111,110,111,VLMC_7,#535948,79,Non-neuronal,#6D7A67,VLMC,#697255,Other NN,#99796B,Other NN,#99796B,N_12,#535948,VLMC,#697255,,40,NonN_Endo-Nxn,NonN_OPC-Pdgfra,,VLMC,VLMC Bnc2,#535944,Other,VLMC,#3B3F32,VLMC Osr1 Cd74,
112,111,112,SMC,#A6906F,19,Non-neuronal,#6D7A67,SMC,#807059,Other NN,#99796B,Other NN,#99796B,N_9,#A6906F,NA,NA,,35,NonN_SMC-Myo1b,NonN_Astro-Slc1a2,,SMC,SMC-Peri,#A6906F,Smc,SMC-Peri,#A6906F,SMC Acta2,
113,112,113,Peri,#A77C70,1446,Non-neuronal,#6D7A67,Peri,#665547,Other NN,#99796B,Other NN,#99796B,N_9,#A6906F,NA,NA,,35,NonN_SMC-Myo1b,NonN_Astro-Slc1a2,,Peri,SMC-Peri,#A6906F,Smc,SMC-Peri,#A6906F,Peri Kcnj8,
114,113,114,Micro,#6E7C6F,7776,Non-neuronal,#6D7A67,Micro-PVM,#94AF97,Micro-PVM,#598069,Micro-PVM,#598069,N_4,#6E7C6F,Microglia/PVM,#94AF97,,34,NonN_Micro-Csf1r,NonN_Micro-Csf1r,,,Micro-PVM Inpp5d,#6E7C6F,MGC,Micro-PVM,#6E7C6F,Microglia Siglech,
115,114,115,PVM_1,#8BA38D,306,Non-neuronal,#6D7A67,Micro-PVM,#94AF97,Micro-PVM,#598069,Micro-PVM,#598069,N_4,#6E7C6F,Microglia/PVM,#94AF97,,NA,NA,NonN_ODC-Mog,,,NA,NA,MGC,Micro-PVM,#6E7C6F,PVM Mrc1,
116,115,116,PVM_2,#73967F,26,Non-neuronal,#6D7A67,Micro-PVM,#94AF97,Micro-PVM,#598069,Micro-PVM,#598069,N_4,#6E7C6F,Microglia/PVM,#94AF97,,34,NonN_Micro-Csf1r,NonN_ODC-Mog,,,Micro-PVM Inpp5d,#6E7C6F,MGC,Micro-PVM,#6E7C6F,PVM Mrc1,
117,116,117,PVM_3,#709F6D,21,Non-neuronal,#6D7A67,Micro-PVM,#94AF97,Micro-PVM,#598069,Micro-PVM,#598069,N_4,#6E7C6F,Microglia/PVM,#94AF97,,34,NonN_Micro-Csf1r,NonN_ODC-Mog,,,Micro-PVM Inpp5d,#6E7C6F,MGC,Micro-PVM,#6E7C6F,PVM Mrc1,